Медведев	обладатель дворцов, резиденций, родовой усадьбы, яхт и виноградников	https://www.youtube.com/watch?v=qrwlk7_GF9g																							
Медведев	коррупционер	https://www.youtube.com/watch?v=qrwlk7_GF9g																							
Медведев	один из самых коррумпированных чиновников	https://www.youtube.com/watch?v=qrwlk7_GF9g																							
Чайка	его жена ведет совместный бизнес с женами бандитов и убийц	https://www.youtube.com/watch?v=eXYQbgvzxdM																							
Чайка	оппозиция требует его отставки																								
Золотов	бывший охранник Путина	https://www.youtube.com/watch?v=0R71sw7h428																							
Золотов	ворует на еде для Росгвардии																								
Собянин	раздал квартиры для очередников своим друзьям	https://www.youtube.com/watch?v=vJayAEDco0o																							
Станислав Минин	осудил на 4 года невзирая на доказательства и свидетельства о невиновности	https://www.interfax.ru/russia/675323																							
Нина Шарапова	осудила на 4 года невзирая на доказательства и свидетельства о невиновности	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Татьяна Додонова	отказалась принять более 600 поручительств за Егора Жукова по «делу 212»	https://novayagazeta.ru/news/2019/08/15/154342-sudya-otkazalas-prinyat-bolee-600-poruchitelstv-za-egora-zhukova-po-delu-212																							
Анатолий Беляков	приговорил к двум годам колонии общего режима отца двоих детей за то, что тот схватил сотрудника силовых структур за руку	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Анатолий Беляков	приговорил Беглеца к двум годам колонии общего режима за то, что тот схватил сотрудника силовых структур за руку	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Елена Иванова	считает, что схватить за руку и получить два года колонии --- это справедливо	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Марина Сизинцева	оценила в 3 года колонии попытку поднять забрало шлема росгвардейца	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Елена Лаврова	оценила в 3 года колонии попытку поднять забрало шлема росгвардейца	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Олеся Менделеева	дала 3,5 лет колонии подсудимому, который бросил урну в сторону полицейского	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Евгения Жигалева	дала 3,5 лет колонии подсудимому, который бросил урну в сторону полицейского	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
Александр Меркулов	приговорил к 3 годам лишения свободы за распыление перцового газа в сторону силовиков	https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE																							
